NOM_SC;NOM_FR;COMMUNE;CODE_INSEE;DATE_OBS
Phylloscopus collybita (Vieillot, 1887);Pouillot véloce;GARCHES;92033;2006-06-13
Turdus merula Linnaeus, 1758;Merle noir;GARCHES;92033;2006-06-13
Turdus philomelos C. L. Brehm, 1831;Grive musicienne;CHATENAY MALABRY;92019;2006-06-13
Anas platyrhynchos Linnaeus, 1758;Canard colvert;COLOMBES;92025;2006-06-15
Larus ridibundus Linnaeus, 1766;Mouette rieuse;COLOMBES;92025;2006-06-15
Prunella modularis (Linnaeus, 1758);Accenteur mouchet;COLOMBES;92025;2006-06-15
Troglodytes troglodytes (Linnaeus, 1758);Troglodyte mignon;COLOMBES;92025;2006-06-15
Turdus merula Linnaeus, 1758;Merle noir;COLOMBES;92025;2006-06-15
Parus caeruleus Linnaeus, 1758;Mésange bleue;MEUDON;92048;2006-06-16
Picus viridis Linnaeus, 1758;Pic vert, Pivert;MEUDON;92048;2006-06-16
Turdus philomelos C. L. Brehm, 1831;Grive musicienne;MEUDON;92048;2006-06-16
Erithacus rubecula (Linnaeus, 1758);Rougegorge familier;MEUDON;92048;2006-06-30
Fringilla coelebs Linnaeus, 1758;Pinson des arbres;SEVRES;92072;2006-06-30
Sitta europaea Linnaeus, 1758;Sittelle torchepot;MEUDON;92048;2006-06-30
Troglodytes troglodytes (Linnaeus, 1758);Troglodyte mignon;SEVRES;92072;2006-06-30
Eristalis pertinax (Scopoli, 1763);;SURESNES;92073;2006-01-08
Graphosoma lineatum (Linnaeus, 1758);;SURESNES;92073;2006-01-08
Pyrrhocoris apterus (Linnaeus, 1758);;SURESNES;92073;2006-01-08
Aegithalos caudatus (Linnaeus, 1758);Mésange à longue queue;ISSY LES MOULINEAUX;92040;2007-04-26
Chorthippus brunneus (Thunberg, 1815);Criquet duettiste, Sauteriot;ISSY LES MOULINEAUX;92040;2007-04-26
Erithacus rubecula (Linnaeus, 1758);Rougegorge familier;ISSY LES MOULINEAUX;92040;2007-04-26
Passer domesticus (Linnaeus, 1758);Moineau domestique;ISSY LES MOULINEAUX;92040;2007-04-26
Pieris brassicae (Linnaeus, 1758);Piéride du Chou (La), Grande Piéride du Chou (La), Papillon du Chou (Le);ISSY LES MOULINEAUX;92040;2007-04-26
Pieris rapae (Linnaeus, 1758);Piéride de la Rave (La), Petit Blanc du Chou (Le), Petite Piéride du Chou (La);ISSY LES MOULINEAUX;92040;2007-04-26
Vanessa atalanta (Linnaeus, 1758);Vulcain (Le), Amiral (L'), Vanesse Vulcain (La), Chiffre (Le), Atalante (L');ISSY LES MOULINEAUX;92040;2007-04-26
Salmo trutta Linnaeus, 1758;Truite commune, Truite d'Europe;VILLENEUVE LA GARENNE;92078;2007-06-26
Sander lucioperca (Linnaeus, 1758);Sandre;VILLENEUVE LA GARENNE;92078;2007-06-26
Anas platyrhynchos Linnaeus, 1758;Canard colvert;VILLENEUVE LA GARENNE;92078;2007-01-07
Carduelis carduelis (Linnaeus, 1758);Chardonneret élégant;VILLENEUVE LA GARENNE;92078;2007-01-07
Chloris chloris (Linnaeus, 1758);Verdier d'Europe;VILLENEUVE LA GARENNE;92078;2007-01-07
Columba livia Gmelin, 1789;Pigeon biset;VILLENEUVE LA GARENNE;92078;2007-01-07
Erithacus rubecula (Linnaeus, 1758);Rougegorge familier;VILLENEUVE LA GARENNE;92078;2007-01-07
Passer domesticus (Linnaeus, 1758);Moineau domestique;VILLENEUVE LA GARENNE;92078;2007-01-07
